01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1962,Roménia,,Mulheres,,,,x,
1962,Roménia,,Total,,,,x,
1962,Suécia,,Homens,,,,x,
1962,Suécia,,Mulheres,,,,x,
1962,Suécia,,Total,,,,x,
1963,Alemanha,,Homens,,,,x,
1963,Alemanha,,Mulheres,,,,x,
1963,Alemanha,,Total,,,,x,
1963,Áustria,,Homens,,,,x,
1963,Áustria,,Mulheres,,,,x,
1963,Áustria,,Total,,,,x,
1963,Bélgica,,Homens,,,,,67.1
1963,Bélgica,,Mulheres,,,,,73.1
1963,Bélgica,,Total,,,,,70.1
1963,Bulgária,,Homens,,,,,68.7
1963,Bulgária,,Mulheres,,,,,72.2
1963,Bulgária,,Total,,,,,70.5
1963,Chéquia,,Homens,,,,,67.3
1963,Chéquia,,Mulheres,,,,,73.6
1963,Chéquia,,Total,,,,,70.5
1963,Chipre,,Homens,,,,x,
1963,Chipre,,Mulheres,,,,x,
1963,Chipre,,Total,,,,x,
1963,Croácia,,Homens,,,,x,
1963,Croácia,,Mulheres,,,,x,
1963,Croácia,,Total,,,,x,
1963,Dinamarca,,Homens,,,,x,
1963,Dinamarca,,Mulheres,,,,x,
1963,Dinamarca,,Total,,,,x,
1963,Eslováquia,,Homens,,,,,68.3
1963,Eslováquia,,Mulheres,,,,,73.3
1963,Eslováquia,,Total,,,,,70.8
1963,Eslovénia,,Homens,,,,x,
1963,Eslovénia,,Mulheres,,,,x,
1963,Eslovénia,,Total,,,,x,
1963,Espanha,,Homens,,,,x,
1963,Espanha,,Mulheres,,,,x,
1963,Espanha,,Total,,,,x,
1963,Estónia,,Homens,,,,,65.4
1963,Estónia,,Mulheres,,,,,73.6
1963,Estónia,,Total,,,,,69.9
1963,Finlândia,,Homens,,,,x,
1963,Finlândia,,Mulheres,,,,x,
1963,Finlândia,,Total,,,,x,
1963,França,,Homens,,,,x,
1963,França,,Mulheres,,,,x,
1963,França,,Total,,,,x,
1963,Grécia,,Homens,,,,,70.2
1963,Grécia,,Mulheres,,,,,73.7
1963,Grécia,,Total,,,,,72.0
1963,Hungria,,Homens,,,,,66.6
1963,Hungria,,Mulheres,,,,,71.3
1963,Hungria,,Total,,,,,69.0
1963,Irlanda,,Homens,,,,x,
1963,Irlanda,,Mulheres,,,,x,
1963,Irlanda,,Total,,,,x,
1963,Itália,,Homens,,,,x,
1963,Itália,,Mulheres,,,,x,
1963,Itália,,Total,,,,x,
1963,Letónia,,Homens,,,,x,
1963,Letónia,,Mulheres,,,,x,
1963,Letónia,,Total,,,,x,
1963,Lituânia,,Homens,,,,x,
1963,Lituânia,,Mulheres,,,,x,
1963,Lituânia,,Total,,,,x,
1963,Luxemburgo,,Homens,,,,x,
1963,Luxemburgo,,Mulheres,,,,x,
1963,Luxemburgo,,Total,,,,x,
1963,Malta,,Homens,,,,x,
1963,Malta,,Mulheres,,,,x,
1963,Malta,,Total,,,,x,
1963,Países Baixos,,Homens,,,,x,
1963,Países Baixos,,Mulheres,,,,x,
1963,Países Baixos,,Total,,,,x,
1963,Polónia,,Homens,,,,x,
1963,Polónia,,Mulheres,,,,x,
1963,Polónia,,Total,,,,x,
1963,Portugal,,Homens,,,,,61.8
1963,Portugal,,Mulheres,,,,,67.6
1963,Portugal,,Total,,,,,64.8
1963,Roménia,,Homens,,,,x,
1963,Roménia,,Mulheres,,,,x,
1963,Roménia,,Total,,,,x,
1963,Suécia,,Homens,,,,x,
1963,Suécia,,Mulheres,,,,x,
1963,Suécia,,Total,,,,x,
1964,Alemanha,,Homens,,,,x,
1964,Alemanha,,Mulheres,,,,x,
1964,Alemanha,,Total,,,,x,
1964,Áustria,,Homens,,,,x,
1964,Áustria,,Mulheres,,,,x,
1964,Áustria,,Total,,,,x,
1964,Bélgica,,Homens,,,,,67.8
1964,Bélgica,,Mulheres,,,,,73.9
1964,Bélgica,,Total,,,,,70.8
1964,Bulgária,,Homens,,,,,69.4
1964,Bulgária,,Mulheres,,,,,73.2
1964,Bulgária,,Total,,,,,71.3
1964,Chéquia,,Homens,,,,,67.5
1964,Chéquia,,Mulheres,,,,,73.8
1964,Chéquia,,Total,,,,,70.7
1964,Chipre,,Homens,,,,x,
1964,Chipre,,Mulheres,,,,x,
1964,Chipre,,Total,,,,x,
1964,Croácia,,Homens,,,,x,
1964,Croácia,,Mulheres,,,,x,
1964,Croácia,,Total,,,,x,
1964,Dinamarca,,Homens,,,,x,
1964,Dinamarca,,Mulheres,,,,x,
1964,Dinamarca,,Total,,,,x,
1964,Eslováquia,,Homens,,,,,68.8
1964,Eslováquia,,Mulheres,,,,,73.6
1964,Eslováquia,,Total,,,,,71.2
1964,Eslovénia,,Homens,,,,x,
1964,Eslovénia,,Mulheres,,,,x,
1964,Eslovénia,,Total,,,,x,
1964,Espanha,,Homens,,,,x,
1964,Espanha,,Mulheres,,,,x,
1964,Espanha,,Total,,,,x,
1964,Estónia,,Homens,,,,,66.4
1964,Estónia,,Mulheres,,,,,74.2
1964,Estónia,,Total,,,,,70.8
1964,Finlândia,,Homens,,,,x,
1964,Finlândia,,Mulheres,,,,x,
1964,Finlândia,,Total,,,,x,
1964,França,,Homens,,,,x,
1964,França,,Mulheres,,,,x,
1964,França,,Total,,,,x,
1964,Grécia,,Homens,,,,,69.9
1964,Grécia,,Mulheres,,,,,73.8
1964,Grécia,,Total,,,,,71.8
1964,Hungria,,Homens,,,,,67.0
1964,Hungria,,Mulheres,,,,,71.9
1964,Hungria,,Total,,,,,69.5
1964,Irlanda,,Homens,,,,x,
1964,Irlanda,,Mulheres,,,,x,
1964,Irlanda,,Total,,,,x,
1964,Itália,,Homens,,,,x,
1964,Itália,,Mulheres,,,,x,
1964,Itália,,Total,,,,x,
1964,Letónia,,Homens,,,,x,
1964,Letónia,,Mulheres,,,,x,
1964,Letónia,,Total,,,,x,
1964,Lituânia,,Homens,,,,x,
1964,Lituânia,,Mulheres,,,,x,
1964,Lituânia,,Total,,,,x,
1964,Luxemburgo,,Homens,,,,x,
1964,Luxemburgo,,Mulheres,,,,x,
1964,Luxemburgo,,Total,,,,x,
1964,Malta,,Homens,,,,x,
1964,Malta,,Mulheres,,,,x,
1964,Malta,,Total,,,,x,
1964,Países Baixos,,Homens,,,,x,
1964,Países Baixos,,Mulheres,,,,x,
1964,Países Baixos,,Total,,,,x,
1964,Polónia,,Homens,,,,x,
1964,Polónia,,Mulheres,,,,x,
1964,Polónia,,Total,,,,x,
1964,Portugal,,Homens,,,,,62.0
1964,Portugal,,Mulheres,,,,,67.8
1964,Portugal,,Total,,,,,64.9
1964,Roménia,,Homens,,,,x,
1964,Roménia,,Mulheres,,,,x,
1964,Roménia,,Total,,,,x,
1964,Suécia,,Homens,,,,x,
1964,Suécia,,Mulheres,,,,x,
1964,Suécia,,Total,,,,x,
1965,Alemanha,,Homens,,,,x,
1965,Alemanha,,Mulheres,,,,x,
1965,Alemanha,,Total,,,,x,
1965,Áustria,,Homens,,,,x,
1965,Áustria,,Mulheres,,,,x,
1965,Áustria,,Total,,,,x,
1965,Bélgica,,Homens,,,,,67.6
1965,Bélgica,,Mulheres,,,,,73.8
1965,Bélgica,,Total,,,,,70.7
1965,Bulgária,,Homens,,,,,69.4
1965,Bulgária,,Mulheres,,,,,73.3
1965,Bulgária,,Total,,,,,71.4
1965,Chéquia,,Homens,,,,,67.2
1965,Chéquia,,Mulheres,,,,,73.5
1965,Chéquia,,Total,,,,,70.4
1965,Chipre,,Homens,,,,x,
1965,Chipre,,Mulheres,,,,x,
1965,Chipre,,Total,,,,x,
1965,Croácia,,Homens,,,,x,
1965,Croácia,,Mulheres,,,,x,
1965,Croácia,,Total,,,,x,
1965,Dinamarca,,Homens,,,,x,
1965,Dinamarca,,Mulheres,,,,x,
1965,Dinamarca,,Total,,,,x,
1965,Eslováquia,,Homens,,,,,67.9
1965,Eslováquia,,Mulheres,,,,,72.9
1965,Eslováquia,,Total,,,,,70.4
1965,Eslovénia,,Homens,,,,x,
1965,Eslovénia,,Mulheres,,,,x,
1965,Eslovénia,,Total,,,,x,
1965,Espanha,,Homens,,,,x,
1965,Espanha,,Mulheres,,,,x,
1965,Espanha,,Total,,,,x,
1965,Estónia,,Homens,,,,,66.3
1965,Estónia,,Mulheres,,,,,74.3
1965,Estónia,,Total,,,,,70.8
1965,Finlândia,,Homens,,,,x,
1965,Finlândia,,Mulheres,,,,x,
1965,Finlândia,,Total,,,,x,
1965,França,,Homens,,,,x,
1965,França,,Mulheres,,,,x,
1965,França,,Total,,,,x,
1965,Grécia,,Homens,,,,,70.5
1965,Grécia,,Mulheres,,,,,74.3
1965,Grécia,,Total,,,,,72.4
1965,Hungria,,Homens,,,,,66.7
1965,Hungria,,Mulheres,,,,,71.5
1965,Hungria,,Total,,,,,69.2
1965,Irlanda,,Homens,,,,x,
1965,Irlanda,,Mulheres,,,,x,
1965,Irlanda,,Total,,,,x,
1965,Itália,,Homens,,,,x,
1965,Itália,,Mulheres,,,,x,
1965,Itália,,Total,,,,x,
1965,Letónia,,Homens,,,,x,
1965,Letónia,,Mulheres,,,,x,
1965,Letónia,,Total,,,,x,
1965,Lituânia,,Homens,,,,x,
1965,Lituânia,,Mulheres,,,,x,
1965,Lituânia,,Total,,,,x,
1965,Luxemburgo,,Homens,,,,x,
1965,Luxemburgo,,Mulheres,,,,x,
1965,Luxemburgo,,Total,,,,x,
1965,Malta,,Homens,,,,x,
1965,Malta,,Mulheres,,,,x,
1965,Malta,,Total,,,,x,
1965,Países Baixos,,Homens,,,,x,
1965,Países Baixos,,Mulheres,,,,x,
1965,Países Baixos,,Total,,,,x,
1965,Polónia,,Homens,,,,x,
1965,Polónia,,Mulheres,,,,x,
1965,Polónia,,Total,,,,x,
1965,Portugal,,Homens,,,,,62.6
1965,Portugal,,Mulheres,,,,,68.9
1965,Portugal,,Total,,,,,65.8
1965,Roménia,,Homens,,,,x,
1965,Roménia,,Mulheres,,,,x,
1965,Roménia,,Total,,,,x,
1965,Suécia,,Homens,,,,x,
1965,Suécia,,Mulheres,,,,x,
1965,Suécia,,Total,,,,x,
1966,Alemanha,,Homens,,,,x,
1966,Alemanha,,Mulheres,,,,x,
1966,Alemanha,,Total,,,,x,
1966,Áustria,,Homens,,,,x,
1966,Áustria,,Mulheres,,,,x,
1966,Áustria,,Total,,,,x,
1966,Bélgica,,Homens,,,,,67.8
1966,Bélgica,,Mulheres,,,,,73.8
1966,Bélgica,,Total,,,,,70.7
1966,Bulgária,,Homens,,,,,69.3
1966,Bulgária,,Mulheres,,,,,73.2
